username,numPosts,numFollowers,numFollowing
RedDogT3,5624,43725,255
TechStockRadar,1952,68620,0
eminiplayer,2464,14620,13
agwarner,5668,17632,13
TraderFlorida,18553,37988,0
stt2318,26839,53393,0
jcal7,15,41,5
harmongreg,59091,90051,40
gtotoy,14657,15312,34
Kenshreve,1711,18435,57
Hamzei_Analytics,319,1885,3
paulwoll,1028,10719,20
Marissa,202,425,74
carsondahlberg,4329,40770,88
ToddStottlemyre,9,886,55
alaidi,988,4245,7
kirknorthington,53,98,9
vol_trader,383,219,52
alphatrends,6867,93631,110
annemarie2006,1685,1389,19
IchimokuCharts,3816,18368,109
stotrader,111,247,19
andyswan,79,13899,2
QuantifiableEdge,1188,9371,38
alphascanner,49,139,1
johnwelshtrades,422,2753,46
whh19,1093,41,19
traderclubtirol,13745,1005,101
alanwarms,10,111,30
McRich,1373,71,0
chartingstock,922,1776,0
dan_fxtrader,52,157,9
jennalbright,219,82,22
mackuscurrency,113,93,14
aqumin_sean,54,32,3
OptionGal,121,155,79
CITY68,184,16,6
daytrading__de,305,330,47
oooo,7126,135,13
gregn,995,23,15
ParrParr,835,143,13
Alphatraders,23,31,13
enorlin,10,120,1
flav,2629,23,7
Tatoduk,6718,661,4
MrTrending,1087,167,6
TheDarthTrader,275,14,6
derekhernquist,4668,27906,254
kkaech,39,92,32
Zignals,1420,228,57
hardaway,27,109,7
Bohtrader,39,16,44
MrWiddles,10018,342,21
Legacy_Trades,3803,3018,78
CarlFutia,136,335,1
zerosum24,2195,2582,58
mw92101,1860,35,85
TradeHawk,1309,1831,0
mangist,3448,133,76
TryTheWine,1848,252,20
Cousin_Vinny,22621,17185,78
TriggerNews,490,223,42
mykesmith,224,137,19
misterchartt,2810,29,0
helptrader,357,9,0
ChartRoom,237,19,0
IMR,747,112,5
Jason_G_Trades,6,32,11
PeterGhostine,6853,22606,19
ericx121,6,62,10
racernic,16831,4291,13
HarmonicElliottWave,1200,151,0
AlexandraSiena,6,32,31
DanFitz,25,460,12
hanaroo,886,239,80
AshRust,5,588,14
Jediphone,16,88,131
StockTickr,229,538,6
briander81,13761,5551,34
pensionpartners,6,648,70
StockReversals,10559,17085,3
moonstruckone,3643,86,16
BBtrader1,289,80,9
TradetheMBI,19586,1489,113
jasonbgordonasdf,264,101,61
xbkrisback,759,81,7
Stockcraft,313,204,0
twirlylindylou,214,20,6
stocklooker,138,84,2
ajhawener,135,7,2
a5hi,38128,1805,195
MichaelComeau,72,169,30
tradefast,67,2493,4
HRomanticist,2714,48,53
TA_Trader,434,807,21
QuantifiedAlpha,2932,31330,14
earningscast,23577,49880,4
WSConsensus,4467,50269,2
ThePonz,24525,1370,234
RandallS,513,19,54
eWhispers,509,32903,17
cchigga,879,29,65
AlphaNow,499,18789,30
xel_arjona,1891,260,113
QuantifiedAlpha_Earnings,208,70,25
teggatz,130,29,9
TraceyRyniec,8362,52871,57
bradfranklin,126,176,60
watcfa,9,125,0
Selerity,283,31342,0
Palmieri010,20,24,0
patonet,393,133,32
jistaley,298,29,23
IntelIR,669,198,32
B_Bart,1489,6,83
delete,457,94,50
adamsarhan,30,208,2
ku4a,928,131,4
StockNoob,60,57,12
Katie_Roof,1337,22815,48
Ro_Patel,4396,35596,23
MikeZaccardi,35,108,101
tugofwar,2365,32,30
WhisperNumber,1163,27059,68
tradesforfun,136,102,22
SouthPawTrader,9944,1775,11
advalorem,132,80,53
HedgeFundOfOne,4323,12176,94
ElliottWaveTrader,360,3694,3
WALLSTTUTOR,7,70,1
LadyStark,20,11,148
karleggerss,1062,244,17
